YEAR,Albania,Andorra,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Yugoslavia
1980,/,/,/,/,Upbeat Pop,/,/,Upbeat Pop,/,/,/,/,/,Country,/,Upbeat Pop,Dance Pop,/,Upbeat Pop,Upbeat Pop,/,/,Sentimental Ballad,Dance Pop,Upbeat Pop,/,/,Pop / Rock,/,/,/,/,Upbeat Pop,Power Ballad,/,Country,/,Pop / Rock,/,/,/,/,/,/,/,Sentimental Ballad,Pop / Rock,Dance Pop,Country,/,Dance Pop,/
1981,/,/,/,/,Upbeat Pop,/,/,Dance Pop,/,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,Upbeat Pop,/,Country,Power Ballad,/,/,Upbeat Pop,Upbeat Pop,/,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Pop / Rock,/,/,/,/,/,/,/,Sentimental Ballad,Pop / Rock,Sentimental Ballad,Upbeat Pop,/,Rock,Sentimental Ballad
1982,/,/,/,/,Dance Pop,/,/,Upbeat Pop,/,/,/,Power Ballad,/,Pop / Rock,/,Pop / Rock,/,/,Upbeat Pop,Sentimental Ballad,/,/,Dance Pop,Upbeat Pop,/,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Pop / Rock,/,/,/,/,/,/,/,Country,Upbeat Pop,Upbeat Pop,Dance Pop,/,Pop / Rock,Dance Pop
1983,/,/,/,/,Dance Pop,/,/,Dance Pop,/,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,Sentimental Ballad,/,Upbeat Pop,Sentimental Ballad,/,/,/,Upbeat Pop,Upbeat Pop,/,/,Power Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,/,/,/,Country,Sentimental Ballad,Power Ballad,Dance Pop,/,Dance Pop,Upbeat Pop
1984,/,/,/,/,Upbeat Pop,/,/,Pop,/,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,Power Ballad,/,Upbeat Pop,/,/,/,Upbeat Pop,Dance Pop,Dance Pop,/,/,Upbeat Pop,/,/,/,/,/,Sentimental Ballad,/,Pop / Rock,/,Power Ballad,/,/,/,/,/,/,/,Power Ballad,Upbeat Pop,Sentimental Ballad,Upbeat Pop,/,Upbeat Pop,Upbeat Pop
1985,/,/,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,/,Power Ballad,/,Upbeat Pop,/,Upbeat Pop,Upbeat Pop,/,Upbeat Pop,Power Ballad,/,/,Sentimental Ballad,Dance Pop,Power Ballad,/,/,Sentimental Ballad,/,/,/,/,/,/,/,Pop / Rock,/,Sentimental Ballad,/,/,/,/,/,/,/,Sentimental Ballad,Dance Pop,Pop / Rock,Upbeat Pop,/,Sentimental Ballad,/
1986,/,/,/,/,Sentimental Ballad,/,/,Dance Pop,/,/,/,Upbeat Pop,/,Dance Pop,/,Power Ballad,Dance Pop,/,Upbeat Pop,Upbeat Pop,/,Dance Pop,Upbeat Pop,Dance Pop,/,/,/,Sentimental Ballad,/,/,/,/,/,Upbeat Pop,/,Sentimental Ballad,/,Upbeat Pop,/,/,/,/,/,/,/,Upbeat Pop,Pop / Rock,Sentimental Ballad,Pop / Rock,/,Pop / Rock,Sentimental Ballad
1987,/,/,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,Upbeat Pop,/,Upbeat Pop,/,Dance Pop,Power Ballad,/,Dance Pop,Dance Pop,/,Sentimental Ballad,Upbeat Pop,Dance Pop,Sentimental Ballad,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,/,/,/,Sentimental Ballad,Dance Pop,Pop / Rock,Upbeat Pop,/,Power Ballad,Dance Pop
1988,/,/,/,/,Pop,/,/,Power Ballad,/,/,/,Dance Pop,/,Upbeat Pop,/,Upbeat Pop,Power Ballad,/,Upbeat Pop,Upbeat Pop,/,Upbeat Pop,Pop,Upbeat Pop,Pop / Rock,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Power Ballad,/,/,/,/,/,/,/,Dance Pop,Sentimental Ballad,Power Ballad,Dance Pop,/,Sentimental Ballad,Dance Pop
1989,/,/,/,/,Pop,/,/,Sentimental Ballad,/,/,/,Upbeat Pop,/,Dance Pop,/,Upbeat Pop,Power Ballad,/,Upbeat Pop,Upbeat Pop,/,Upbeat Pop,Upbeat Pop,Upbeat Pop,Power Ballad,/,/,Upbeat Pop,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,Pop / Rock,/,/,/,/,/,/,/,Sentimental Ballad,Pop / Rock,Sentimental Ballad,Country,/,Sentimental Ballad,Pop / Rock
1990,/,/,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,/,Dance Pop,/,Dance Pop,/,Upbeat Pop,Upbeat Pop,/,Power Ballad,Upbeat Pop,/,Dance Pop,Upbeat Pop,Power Ballad,Upbeat Pop,/,/,Sentimental Ballad,Sentimental Ballad,/,/,/,/,Power Ballad,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,/,/,Country,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,Upbeat Pop,Dance Pop
1991,/,/,/,/,Pop,/,/,Upbeat Pop,/,/,/,Upbeat Pop,/,Power Ballad,/,Upbeat Pop,Pop,/,Power Ballad,Upbeat Pop,/,Power Ballad,Upbeat Pop,Upbeat Pop,Sentimental Ballad,/,/,Power Ballad,Sentimental Ballad,/,/,/,/,/,/,Pop / Rock,/,Sentimental Ballad,/,/,/,/,/,/,/,Power Ballad,Dance Pop,Power Ballad,Pop / Rock,/,Dance Pop,Upbeat Pop
1992,/,/,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,Debatable,/,Upbeat Pop,/,Pop / Rock,Debatable,/,Pop,Upbeat Pop,/,Dance Pop,Power Ballad,Upbeat Pop,Sentimental Ballad,/,/,Pop / Rock,Pop / Rock,/,/,/,/,Upbeat Pop,/,Sentimental Ballad,/,Upbeat Pop,/,/,/,/,/,/,/,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,Pop / Rock,Power Ballad
1993,/,/,/,/,Upbeat Pop,/,/,Power Ballad,Power Ballad,/,Pop,Debatable,/,Upbeat Pop,Debatable,Power Ballad,Pop,/,Pop,Dance Pop,/,Power Ballad,Power Ballad,Power Ballad,Pop / Rock,/,/,Sentimental Ballad,Sentimental Ballad,/,/,/,/,Pop / Rock,/,Sentimental Ballad,/,Sentimental Ballad,Popera,/,/,/,/,/,Pop / Rock,Dance Pop,Power Ballad,Sentimental Ballad,Dance Pop,/,Dance Pop,/
1994,/,/,/,/,Upbeat Pop,/,/,/,Pop,/,Pop,Power Ballad,/,/,Power Ballad,Dance Pop,Upbeat Pop,/,Dance Pop,Dance Pop,Sentimental Ballad,Upbeat Pop,Pop / Rock,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Sentimental Ballad,Power Ballad,Power Ballad,Sentimental Ballad,/,/,/,Pop / Rock,/,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,/,Sentimental Ballad,/
1995,/,/,/,/,Upbeat Pop,/,/,Power Ballad,Power Ballad,/,Popera,Upbeat Pop,/,Sentimental Ballad,/,/,Upbeat Pop,/,Upbeat Pop,Sentimental Ballad,Pop / Rock,Sentimental Ballad,Upbeat Pop,Power Ballad,/,/,/,/,Sentimental Ballad,/,/,/,/,/,/,Popera,Popera,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,Power Ballad,Power Ballad,Sentimental Ballad,/,Power Ballad,/,Dance Pop,/
1996,/,/,/,/,Dance Pop,/,/,Upbeat Pop,Sentimental Ballad,/,Power Ballad,Upbeat Pop,/,Sentimental Ballad,Upbeat Pop,Dance Pop,Pop,/,Upbeat Pop,Upbeat Pop,Upbeat Pop,Dance Pop,Sentimental Ballad,Upbeat Pop,/,/,/,/,Sentimental Ballad,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Sentimental Ballad,Upbeat Pop,Sentimental Ballad,/,/,/,/,Sentimental Ballad,Power Ballad,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,Dance Pop,/
1997,/,/,/,/,Dance Pop,/,/,/,Upbeat Pop,/,Dance Pop,Power Ballad,/,Upbeat Pop,Sentimental Ballad,/,Pop,/,Power Ballad,Upbeat Pop,Upbeat Pop,Dance Pop,Sentimental Ballad,/,Upbeat Pop,/,/,/,Sentimental Ballad,/,/,/,/,Dance Pop,/,Upbeat Pop,Sentimental Ballad,Sentimental Ballad,/,Power Ballad,/,/,/,/,Sentimental Ballad,Sentimental Ballad,Upbeat Pop,Pop / Rock,Country,/,Upbeat Pop,/
1998,/,/,/,/,/,/,/,Upbeat Pop,/,/,Power Ballad,Power Ballad,/,/,Sentimental Ballad,Pop,Upbeat Pop,/,Upbeat Pop,Upbeat Pop,Pop,/,Pop,Dance Pop,/,/,/,/,Power Ballad,/,/,/,/,Upbeat Pop,Power Ballad,Upbeat Pop,Upbeat Pop,Sentimental Ballad,Sentimental Ballad,/,/,/,/,Power Ballad,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,Pop / Rock,Sentimental Ballad,/,Sentimental Ballad,/
1999,/,/,/,/,Upbeat Pop,/,/,Sentimental Ballad,Dance Pop,/,Power Ballad,Dance Pop,/,Pop,Upbeat Pop,/,Power Ballad,/,Upbeat Pop,/,/,Upbeat Pop,Pop,Upbeat Pop,/,/,Power Ballad,/,Power Ballad,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,/,/,/,/,/,Sentimental Ballad,Power Ballad,Upbeat Pop,/,Dance Pop,/,Dance Pop,/
2000,/,/,/,/,Upbeat Pop,/,/,Upbeat Pop,/,/,Sentimental Ballad,Ethnic,/,Pop / Rock,Upbeat Pop,Sentimental Ballad,Upbeat Pop,/,Dance Pop,/,/,Upbeat Pop,Pop / Rock,Upbeat Pop,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,/,Dance Pop,Dance Pop,Dance Pop,/,/,Sentimental Ballad,Dance Pop,/,/,/,/,/,Power Ballad,Rock,Power Ballad,Dance Pop,/,Upbeat Pop,/
2001,/,/,/,/,/,/,/,/,Upbeat Pop,/,Pop,/,/,Country,Dance Pop,/,Power Ballad,/,Power Ballad,Dance Pop,/,Upbeat Pop,Power Ballad,Upbeat Pop,/,Pop / Rock,Dance Pop,/,Sentimental Ballad,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Upbeat Pop,Upbeat Pop,/,Pop / Rock,/,/,/,/,Pop / Rock,Dance Pop,Dance Pop,/,Sentimental Ballad,/,Pop / Rock,/
